"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Group","Comparison","Source"
"GO:0048667","cell morphogenesis involved in neuron differentiation","106/836","288/5700",0.368055555555556,2.5094696969697,10.898015791023,7.90247030869735e-22,6.4468352778353e-19,6.13231695954915e-19,"SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/DPYSL5/EFNB1/SPP1/FLRT3/ISLR2/SHANK3/SHANK1/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/EPHA4/UNC5D/GDI1/MAPRE3/SEMA4A/PLXNB3/DCLK1/STMN1/RAB3A/DSCAML1/SLIT2/HPRT1/LRP4/PLXNA4/PLXND1/NCAM1/SEMA6D/NECTIN1/DCC/ADGRB1/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/PDLIM5/EFNB3/VEGFA/EFNA5/NTRK3/MAP2K1/NRP1/CNTN4/CNTN5/LRP8/EPHA3/BSG/CHL1/EPHA5/L1CAM/PLXNC1/SLITRK5/BMPR2/NTRK2/EPHA10/EPHB6/RTN4R/NOTCH1/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/NTNG1/OLFM1/ROBO1/NOG/PTPRS/EDN3/CCK/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/APLP2/UNC5A/DLG4/EPHB2/PTPRJ/NEO1/DSCAM/EPHB3/PTPRD/FSTL4/PCDHAC2/LRRC4C/CDH11/BRSK2",106,"AD","AD_vs_nonAD","GO_BP"
"GO:0050808","synapse organization","108/836","304/5700",0.355263157894737,2.42224880382775,10.5653060641812,7.76058271303199e-21,5.27590281440958e-18,5.01851015442736e-18,"SLITRK1/NRG3/ADGRF1/LRRN1/TNR/TENM4/STAU1/FLRT3/SHANK3/SHANK1/SPARCL1/ITSN1/EFNB2/AMIGO2/MESD/GAP43/ADGRB3/NRP2/PIN1/EPHA7/LIN7B/NLGN1/SLIT1/EPHA4/MAPRE3/SEMA4A/PLXNB3/RAB3A/PALM/CLSTN2/LIN7A/HOMER1/LRRTM1/LRP4/PLXNA4/PLXND1/SEZ6L/SNCG/FZD5/RTN4RL1/ADGRL3/NECTIN1/PCDH17/ELFN2/LRRC4/LRFN4/C1QL3/ADGRB1/ROBO2/NRXN1/ADGRB2/FZD1/FZD9/DAG1/NCKIPSD/PDLIM5/GPHN/SNX27/SRGAP2/EFNA5/NTRK3/NRP1/CNTN4/CNTN5/LRP8/TLR2/PDXP/IGF1R/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/NTRK2/CRK/GRN/RTN4R/NRCAM/ICAM5/NTNG1/CBLN4/YWHAZ/PTPRS/C1QL1/C1QL2/HAPLN4/LRRTM4/LRRTM2/NEGR1/SLITRK4/NPTN/LRFN2/ST8SIA2/DLG4/EPHB2/SNCA/CACNA2D3/LRTM2/PLXNA1/DSCAM/EPHB3/PTPRD/LRRC4C/DNER/NLGN2/CRKL/EGLN1/CSMD2",108,"AD","AD_vs_nonAD","GO_BP"
"GO:0031175","neuron projection development","149/836","497/5700",0.299798792756539,2.04408267788549,10.0993135555628,2.86972591425623e-20,1.67223028632159e-17,1.59064807818774e-17,"SLITRK1/EFNA2/B4GALT6/SPAST/STMN2/BICDL1/SPART/ADGRF1/TNR/SMURF1/DNM2/DPYSL5/HERC1/EFNB1/SPP1/FLRT3/ISLR2/SHANK3/SHANK1/NCK2/CSF1R/SFRP1/IL15RA/MAGI2/ITSN1/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/LRP12/EPHA7/NLGN1/SLIT1/EPHA4/UNC5D/GDI1/MAPRE3/SEMA4A/PLXNB3/DCLK1/SYT4/STMN1/RAB3A/GAS7/DSCAML1/SLIT2/HPRT1/LRP4/PLXNA4/PLXND1/NCAM1/SEMA6D/RTN4RL1/NECTIN1/NPY/SYT1/GPR37/DCC/ADGRB1/YWHAH/CHN1/ROBO2/NRXN1/EPHA6/FZD1/DAG1/TWF2/NCKIPSD/PDLIM5/SRGAP2/EFNB3/HMGB1/IL6/VEGFA/EFNA5/NTRK3/MAP2K1/NBL1/GFAP/NRP1/CNTN4/CNTN5/GFRA1/GPC2/LRP8/EPHA3/BSG/CHL1/EPHA5/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/CRK/GRN/EPHA10/EPHB6/RTN4R/NOTCH1/NRCAM/UNC5C/TNFRSF21/ALCAM/RGMA/SEMA3G/NTNG1/OLFM1/ROBO1/NOG/PTPRS/EDN3/NCAM2/UBB/CCK/CNTNAP2/NEGR1/DRAXIN/SLITRK4/VAPA/NFASC/STX3/NPTN/APLP1/APLP2/ST8SIA2/NDRG4/UNC5A/STMN3/DLG4/EPHB2/ALK/PTPRJ/NEO1/PLXNA1/DSCAM/EPHB3/PTPRD/FSTL4/PCDHAC2/LRRC4C/CDH11/NLGN2/BRSK2/CRKL",149,"AD","AD_vs_nonAD","GO_BP"
"GO:0007416","synapse assembly","73/836","167/5700",0.437125748502994,2.98040283070223,10.7680514750044,3.33394478568178e-20,1.6998950975995e-17,1.61696322105566e-17,"SLITRK1/NRG3/ADGRF1/LRRN1/FLRT3/SHANK3/EFNB2/AMIGO2/GAP43/ADGRB3/EPHA7/LIN7B/NLGN1/SLIT1/SEMA4A/PLXNB3/CLSTN2/LIN7A/LRRTM1/LRP4/PLXNA4/PLXND1/FZD5/RTN4RL1/ADGRL3/NECTIN1/PCDH17/LRRC4/LRFN4/C1QL3/ADGRB1/ROBO2/NRXN1/ADGRB2/FZD1/NCKIPSD/PDLIM5/GPHN/SRGAP2/EFNA5/NTRK3/CNTN5/TLR2/FLRT1/KIRREL3/PLXNC1/SLITRK5/NTRK2/CRK/RTN4R/NRCAM/ICAM5/CBLN4/PTPRS/C1QL2/HAPLN4/LRRTM4/LRRTM2/NEGR1/SLITRK4/NPTN/ST8SIA2/EPHB2/SNCA/LRTM2/PLXNA1/DSCAM/EPHB3/PTPRD/DNER/NLGN2/CRKL/CSMD2",73,"AD","AD_vs_nonAD","GO_BP"
"GO:0061564","axon development","99/836","272/5700",0.363970588235294,2.48161764705882,10.3802152338193,5.30817004093119e-20,2.40578062188426e-17,2.28841108431256e-17,"SLITRK1/EFNA2/B4GALT6/SPAST/SPART/TNR/SMURF1/DNM2/DPYSL5/EFNB1/SPP1/FLRT3/ISLR2/CSF1R/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/EPHA4/UNC5D/GDI1/SEMA4A/PLXNB3/DCLK1/STMN1/RAB3A/DSCAML1/SLIT2/LRP4/PLXNA4/PLXND1/NCAM1/SEMA6D/RTN4RL1/NECTIN1/DCC/ADGRB1/CHN1/ROBO2/NRXN1/EPHA6/DAG1/TWF2/EFNB3/VEGFA/EFNA5/NTRK3/MAP2K1/NRP1/CNTN4/CNTN5/EPHA3/BSG/CHL1/EPHA5/L1CAM/PLXNC1/SLITRK5/BMPR2/NTRK2/GRN/EPHA10/EPHB6/RTN4R/NOTCH1/NRCAM/UNC5C/TNFRSF21/ALCAM/RGMA/SEMA3G/NTNG1/OLFM1/ROBO1/NOG/PTPRS/EDN3/NCAM2/CCK/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/APLP2/UNC5A/EPHB2/PTPRJ/NEO1/DSCAM/EPHB3/FSTL4/PCDHAC2/LRRC4C/CDH11/BRSK2",99,"AD","AD_vs_nonAD","GO_BP"
"GO:0007268","chemical synaptic transmission","106/836","326/5700",0.325153374233129,2.21695482431679,9.38080503085454,3.33045902375102e-17,1.23499475980731e-14,1.17474372837763e-14,"ACE/NRG3/BGLAP/UBE3A/GABBR1/GAD1/TNR/PLCB1/MET/PDLIM4/STAU1/PRKAR1B/HOMER2/TMOD2/SV2A/FXR1/SHANK3/SHANK1/USP8/GABBR2/NETO1/CPLX2/PPP3R1/EPHA7/LIN7B/NLGN1/SORCS3/EPHA4/CALB2/ATXN3/VAMP2/SYT4/RAB3A/GABARAP/CNRIP1/NRGN/CPLX1/CLSTN2/LIN7A/HOMER1/LRRTM1/KAT2A/PARK7/STX1A/DLG2/SNCG/PDYN/SEPTIN5/EIF4EBP2/GRIK2/NPY/SYT1/PCDH17/CPLX3/DCC/ELFN2/LRRC4/ADGRB1/YWHAH/NRXN1/NXPH1/DAG1/PRRT2/CACNB3/GPHN/AMPH/AP2B1/EFNB3/GFAP/CNTN4/LRP8/YWHAG/SLITRK5/NTRK2/NOTCH1/PDE9A/PRKCB/PRKCG/NTNG1/CBLN4/NOG/SST/PTPRS/HAPLN4/NPTX2/LRRTM2/SLITRK4/STX3/NPTN/LRFN2/STX2/DOC2B/SYT9/DLG4/EPHB2/SCN2B/SNCA/NMU/NEO1/SYT5/DSCAM/PTPRD/TAC1/LRRC4C/CDH11/NLGN2",106,"AD","AD_vs_nonAD","GO_BP"
"GO:0098916","anterograde trans-synaptic signaling","106/836","326/5700",0.325153374233129,2.21695482431679,9.38080503085454,3.33045902375102e-17,1.23499475980731e-14,1.17474372837763e-14,"ACE/NRG3/BGLAP/UBE3A/GABBR1/GAD1/TNR/PLCB1/MET/PDLIM4/STAU1/PRKAR1B/HOMER2/TMOD2/SV2A/FXR1/SHANK3/SHANK1/USP8/GABBR2/NETO1/CPLX2/PPP3R1/EPHA7/LIN7B/NLGN1/SORCS3/EPHA4/CALB2/ATXN3/VAMP2/SYT4/RAB3A/GABARAP/CNRIP1/NRGN/CPLX1/CLSTN2/LIN7A/HOMER1/LRRTM1/KAT2A/PARK7/STX1A/DLG2/SNCG/PDYN/SEPTIN5/EIF4EBP2/GRIK2/NPY/SYT1/PCDH17/CPLX3/DCC/ELFN2/LRRC4/ADGRB1/YWHAH/NRXN1/NXPH1/DAG1/PRRT2/CACNB3/GPHN/AMPH/AP2B1/EFNB3/GFAP/CNTN4/LRP8/YWHAG/SLITRK5/NTRK2/NOTCH1/PDE9A/PRKCB/PRKCG/NTNG1/CBLN4/NOG/SST/PTPRS/HAPLN4/NPTX2/LRRTM2/SLITRK4/STX3/NPTN/LRFN2/STX2/DOC2B/SYT9/DLG4/EPHB2/SCN2B/SNCA/NMU/NEO1/SYT5/DSCAM/PTPRD/TAC1/LRRC4C/CDH11/NLGN2",106,"AD","AD_vs_nonAD","GO_BP"
"GO:0099537","trans-synaptic signaling","106/836","331/5700",0.3202416918429,2.18346608074705,9.19663169174928,1.13423447849804e-16,3.85545203149459e-14,3.66735814714366e-14,"ACE/NRG3/BGLAP/UBE3A/GABBR1/GAD1/TNR/PLCB1/MET/PDLIM4/STAU1/PRKAR1B/HOMER2/TMOD2/SV2A/FXR1/SHANK3/SHANK1/USP8/GABBR2/NETO1/CPLX2/PPP3R1/EPHA7/LIN7B/NLGN1/SORCS3/EPHA4/CALB2/ATXN3/VAMP2/SYT4/RAB3A/GABARAP/CNRIP1/NRGN/CPLX1/CLSTN2/LIN7A/HOMER1/LRRTM1/KAT2A/PARK7/STX1A/DLG2/SNCG/PDYN/SEPTIN5/EIF4EBP2/GRIK2/NPY/SYT1/PCDH17/CPLX3/DCC/ELFN2/LRRC4/ADGRB1/YWHAH/NRXN1/NXPH1/DAG1/PRRT2/CACNB3/GPHN/AMPH/AP2B1/EFNB3/GFAP/CNTN4/LRP8/YWHAG/SLITRK5/NTRK2/NOTCH1/PDE9A/PRKCB/PRKCG/NTNG1/CBLN4/NOG/SST/PTPRS/HAPLN4/NPTX2/LRRTM2/SLITRK4/STX3/NPTN/LRFN2/STX2/DOC2B/SYT9/DLG4/EPHB2/SCN2B/SNCA/NMU/NEO1/SYT5/DSCAM/PTPRD/TAC1/LRRC4C/CDH11/NLGN2",106,"AD","AD_vs_nonAD","GO_BP"
"GO:0000902","cell morphogenesis","132/836","458/5700",0.2882096069869,1.96506550218341,8.92784632434449,2.40687467066667e-16,7.55203213973026e-14,7.18359517091282e-14,"SLITRK1/EFNA2/B4GALT6/SPAST/COL6A1/SPART/TNR/SMURF1/DNM2/MET/DPYSL5/ITGB2/EFNB1/SPP1/FLRT3/ISLR2/SHANK3/SHANK1/CSF1R/EFNB2/EFNA3/GAP43/ADGRB3/NRP2/UNC5B/EPHA7/NLGN1/SLIT1/EPHA4/UNC5D/GDI1/MAPRE3/SEMA4A/PLXNB3/DCLK1/SYT4/STMN1/RAB3A/GAS7/PALM/DSCAML1/SLIT2/HPRT1/CDH12/LRP4/PLXNA4/PLXND1/NCAM1/SEMA6D/NECTIN1/SYT1/DCC/ADGRB1/YWHAH/PALMD/CHN1/ROBO2/NRXN1/EPHA6/STK4/DAG1/TWF2/PDLIM5/RILPL2/SRGAP2/EFNB3/LIMD1/VEGFA/EFNA5/NTRK3/MAP2K1/NBL1/NRP1/CNTN4/CNTN5/LRP8/EPHA3/BSG/CHL1/EPHA5/L1CAM/FLRT1/KIRREL3/PLXNC1/SLITRK5/BMPR2/NTRK2/CRK/EPHA10/EPHB6/RTN4R/NOTCH1/NRCAM/UNC5C/ALCAM/RGMA/SEMA3G/NTNG1/OLFM1/C1GALT1C1/ROBO1/NOG/ALDOA/PTPRS/EDN3/UBB/CCK/CNTNAP2/NEGR1/MPIG6B/DRAXIN/SLITRK4/NFASC/NPTN/APLP1/APLP2/ST8SIA2/UNC5A/DLG4/EPHB2/PTPRJ/BAMBI/NEO1/PLXNA1/DSCAM/EPHB3/PTPRD/FSTL4/PCDHAC2/LRRC4C/CDH11/BRSK2",132,"AD","AD_vs_nonAD","GO_BP"
"GO:0099536","synaptic signaling","107/836","342/5700",0.312865497076023,2.13317384370016,8.96012201840892,5.1192871849215e-16,1.49154088766392e-13,1.41877387696396e-13,"ACE/NRG3/BGLAP/UBE3A/GABBR1/GAD1/TNR/PLCB1/MET/PDLIM4/STAU1/PRKAR1B/HOMER2/TMOD2/SV2A/FXR1/SHANK3/SHANK1/USP8/GABBR2/NETO1/CPLX2/PPP3R1/EPHA7/LIN7B/NLGN1/SORCS3/EPHA4/CALB2/ATXN3/VAMP2/SYT4/RAB3A/GABARAP/CNRIP1/NRGN/CPLX1/CLSTN2/LIN7A/HOMER1/LRRTM1/KAT2A/PARK7/STX1A/DLG2/SNCG/PDYN/SEPTIN5/EIF4EBP2/GRIK2/NPY/SYT1/PCDH17/CPLX3/DCC/ELFN2/LRRC4/ADGRB1/YWHAH/NRXN1/NXPH1/DAG1/PRRT2/CACNB3/GPHN/AMPH/AP2B1/EFNB3/GFAP/CNTN4/LRP8/YWHAG/SLITRK5/NTRK2/NOTCH1/PDE9A/PRKCB/PRKCG/NTNG1/CBLN4/NOG/SST/PTPRS/HAPLN4/NPTX2/LRRTM2/SLITRK4/STX3/NPTN/LRFN2/STX2/DOC2B/SYT9/DLG4/EPHB2/SCN2B/SNCA/NMU/NEO1/SYT5/DSCAM/PTPRD/TAC1/LRRC4C/CDH11/NLGN2/CRKL",107,"AD","AD_vs_nonAD","GO_BP"
"GO:0097485","neuron projection guidance","61/836","147/5700",0.414965986394558,2.82931354359926,9.31512451486103,1.00366290402904e-15,2.7292939903563e-13,2.59614137842178e-13,"EFNA2/TNR/DPYSL5/EFNB1/FLRT3/CSF1R/EFNB2/EFNA3/GAP43/NRP2/UNC5B/EPHA7/SLIT1/EPHA4/UNC5D/SEMA4A/DSCAML1/SLIT2/PLXNA4/NCAM1/SEMA6D/NECTIN1/DCC/CHN1/ROBO2/NRXN1/EPHA6/DAG1/EFNB3/VEGFA/EFNA5/NRP1/CNTN4/CNTN5/EPHA3/BSG/CHL1/EPHA5/L1CAM/BMPR2/EPHA10/EPHB6/NOTCH1/NRCAM/UNC5C/ALCAM/SEMA3G/ROBO1/NOG/EDN3/DRAXIN/NFASC/NPTN/UNC5A/EPHB2/PTPRJ/NEO1/PLXNA1/DSCAM/EPHB3/PCDHAC2",61,"AD","AD_vs_nonAD","GO_BP"
"R-HSA-422475","Axon guidance","78/611","263/4193",0.296577946768061,2.03527222716609,7.16151018541572,6.02415507632153e-11,6.36753191567186e-08,6.0622023715404e-08,"EFNA2/COL6A1/DNM2/MET/PSMB5/DPYSL5/EFNB1/FLRT3/SHANK3/NCK2/AP2A2/ITSN1/EFNB2/EFNA3/AGAP2/GAP43/NRP2/UNC5B/NCAN/EPHA7/SLIT1/EPHA4/UNC5D/SEMA4A/PLXNB3/ARPC5/DSCAML1/SLIT2/PLXNA4/PLXND1/RPSA/NCAM1/SCN3B/SEMA6D/ROBO2/EPHA6/DAG1/PSMD6/CACNB3/DNM1/AP2B1/SRGAP2/EFNB3/GFRA2/EFNA5/MAP2K1/NRP1/GFRA1/RGMB/HJV/EPHA3/CHL1/EPHA5/L1CAM/RPS27A/PLXNC1/EPHA10/EPHB6/NRCAM/UNC5C/ALCAM/GRB2/RGMA/ROBO1/UBC/UBB/ST8SIA4/NFASC/ST8SIA2/UNC5A/DLG4/EPHB2/SCN2B/NEO1/PLXNA1/DSCAM/EPHB3/VAV3",78,"AD","AD_vs_nonAD","Reactome"
"R-HSA-9675108","Nervous system development","79/611","272/4193",0.290441176470588,1.99315851545201,6.99476378539543,1.40809047281933e-10,7.44175814885016e-08,7.08491837902778e-08,"EFNA2/COL6A1/DNM2/MET/PSMB5/DPYSL5/EFNB1/FLRT3/SHANK3/NCK2/AP2A2/NAB1/ITSN1/EFNB2/EFNA3/AGAP2/GAP43/NRP2/UNC5B/NCAN/EPHA7/SLIT1/EPHA4/UNC5D/SEMA4A/PLXNB3/ARPC5/DSCAML1/SLIT2/PLXNA4/PLXND1/RPSA/NCAM1/SCN3B/SEMA6D/ROBO2/EPHA6/DAG1/PSMD6/CACNB3/DNM1/AP2B1/SRGAP2/EFNB3/GFRA2/EFNA5/MAP2K1/NRP1/GFRA1/RGMB/HJV/EPHA3/CHL1/EPHA5/L1CAM/RPS27A/PLXNC1/EPHA10/EPHB6/NRCAM/UNC5C/ALCAM/GRB2/RGMA/ROBO1/UBC/UBB/ST8SIA4/NFASC/ST8SIA2/UNC5A/DLG4/EPHB2/SCN2B/NEO1/PLXNA1/DSCAM/EPHB3/VAV3",79,"AD","AD_vs_nonAD","Reactome"
"R-HSA-112316","Neuronal System","46/611","133/4193",0.345864661654135,2.37350331639245,6.64754012482982,3.45030653202686e-09,9.55945251322561e-07,9.10106717387212e-07,"SLITRK1/GABBR1/GAD1/PLCB1/PRKAR1B/HOMER2/SHANK3/SHANK1/AP2A2/GABBR2/LIN7B/NLGN1/VAMP2/RAB3A/NCALD/NRGN/CPLX1/CAMK4/LIN7A/HOMER1/LRRTM1/STX1A/DLG2/GRIK2/SYT1/PRKAR1A/LRFN4/NRXN1/PDLIM5/CACNB3/AP2B1/NTRK3/SLITRK5/PRKCB/PRKCG/PTPRS/LRRTM4/LRRTM2/SLITRK4/NPTN/LRFN2/SYT9/DLG4/CACNA2D3/PTPRD/NLGN2",46,"AD","AD_vs_nonAD","Reactome"
"R-HSA-6794362","Protein-protein interactions at synapses","26/611","54/4193",0.481481481481481,3.30417651694247,7.03774236422435,3.61757900216674e-09,9.55945251322561e-07,9.10106717387212e-07,"SLITRK1/HOMER2/SHANK3/SHANK1/LIN7B/NLGN1/LIN7A/HOMER1/LRRTM1/STX1A/DLG2/SYT1/LRFN4/NRXN1/PDLIM5/NTRK3/SLITRK5/PTPRS/LRRTM4/LRRTM2/SLITRK4/LRFN2/SYT9/DLG4/PTPRD/NLGN2",26,"AD","AD_vs_nonAD","Reactome"
"R-HSA-3928665","EPH-ephrin mediated repulsion of cells","19/611","38/4193",0.5,3.43126022913257,6.21736238667303,2.28128789856486e-07,4.82264261756612e-05,4.59139206532213e-05,"EFNA2/EFNB1/AP2A2/EFNB2/EFNA3/EPHA7/EPHA4/EPHA6/DNM1/AP2B1/EFNB3/EFNA5/EPHA3/EPHA5/EPHA10/EPHB6/EPHB2/EPHB3/VAV3",19,"AD","AD_vs_nonAD","Reactome"
"R-HSA-6794361","Neurexins and neuroligins","18/611","35/4193",0.514285714285714,3.52929623567921,6.20525922228626,2.76325472494809e-07,4.86793374045022e-05,4.63451143342171e-05,"HOMER2/SHANK3/SHANK1/LIN7B/NLGN1/LIN7A/HOMER1/LRRTM1/STX1A/DLG2/SYT1/NRXN1/PDLIM5/LRRTM4/LRRTM2/SYT9/DLG4/NLGN2",18,"AD","AD_vs_nonAD","Reactome"
"R-HSA-2682334","EPH-Ephrin signaling","22/611","59/4193",0.372881355932203,2.55890593359039,4.9799975730877,1.20596706102203e-05,0.00182101026214326,0.00173369099298806,"EFNA2/EFNB1/NCK2/AP2A2/ITSN1/EFNB2/EFNA3/EPHA7/EPHA4/ARPC5/EPHA6/DNM1/AP2B1/EFNB3/EFNA5/EPHA3/EPHA5/EPHA10/EPHB6/EPHB2/EPHB3/VAV3",22,"AD","AD_vs_nonAD","Reactome"
"R-HSA-373760","L1CAM interactions","19/611","49/4193",0.387755102040816,2.66097732055179,4.82970183949996,2.50100913194478e-05,0.00330445831558204,0.00314600622386739,"DNM2/AP2A2/GAP43/NRP2/NCAN/NCAM1/SCN3B/DNM1/AP2B1/MAP2K1/NRP1/CHL1/L1CAM/NRCAM/ALCAM/NFASC/DLG4/EPHB2/SCN2B",19,"AD","AD_vs_nonAD","Reactome"
"R-HSA-373752","Netrin-1 signaling","14/611","31/4193",0.451612903225806,3.09920278760361,4.84454121186054,4.03046980454574e-05,0.00473356287044984,0.004506583781457,"AGAP2/UNC5B/SLIT1/UNC5D/DSCAML1/SLIT2/RGMB/HJV/UNC5C/RGMA/ROBO1/UNC5A/NEO1/DSCAM",14,"AD","AD_vs_nonAD","Reactome"
"R-HSA-112315","Transmission across Chemical Synapses","26/611","82/4193",0.317073170731707,2.17592112091334,4.44099035559165,5.52216197392047e-05,0.00583692520643394,0.00555703878638734,"GABBR1/GAD1/PLCB1/PRKAR1B/AP2A2/GABBR2/LIN7B/VAMP2/RAB3A/NCALD/NRGN/CPLX1/CAMK4/LIN7A/STX1A/DLG2/GRIK2/SYT1/PRKAR1A/CACNB3/AP2B1/PRKCB/PRKCG/NPTN/DLG4/CACNA2D3",26,"AD","AD_vs_nonAD","Reactome"
"R-HSA-5696395","Formation of Incision Complex in GG-NER","10/611","20/4193",0.5,3.43126022913257,4.50081023813776,0.000186061342906376,0.0178788035865491,0.017021497016124,"RAD23A/RAD23B/CUL4B/SUMO3/UBE2V2/SUMO2/UBE2N/RPS27A/UBC/UBB",10,"AD","AD_vs_nonAD","Reactome"
"R-HSA-212676","Dopamine Neurotransmitter Release Cycle","7/611","12/4193",0.583333333333333,4.003136933988,4.30223496733634,0.000548032846357702,0.0482725598833409,0.0459578422033301,"LIN7B/VAMP2/RAB3A/CPLX1/LIN7A/STX1A/SYT1",7,"AD","AD_vs_nonAD","Reactome"
"R-HSA-70268","Pyruvate metabolism","11/611","28/4193",0.392857142857143,2.69599018003273,3.71846157016941,0.00116013715850939,0.0877933219591456,0.0835835440849905,"DLD/LDHA/PDHX/HAGH/MPC1/ME1/LDHB/RPS27A/UBC/UBB/GLO1",11,"AD","AD_vs_nonAD","Reactome"
"R-HSA-5684264","MAP3K8 (TPL2)-dependent MAPK1/3 activation","6/611","10/4193",0.6,4.11751227495908,4.07598607107807,0.00116282545641252,0.0877933219591456,0.0835835440849905,"IKBKB/MAP2K1/RPS27A/UBC/UBB/NFKB1",6,"AD","AD_vs_nonAD","Reactome"
"R-HSA-9012852","Signaling by NOTCH3","10/611","25/4193",0.4,2.74500818330606,3.61386619427323,0.00165271610195115,0.103172320548572,0.0982251042617485,"WWC1/KAT2A/PLXND1/RPS27A/JAG1/NOTCH1/DLL1/EGF/UBC/UBB",10,"AD","AD_vs_nonAD","Reactome"
"GO:0007409","axonogenesis","191/3235","242/5702",0.789256198347107,1.39114029149156,7.11986903180611,1.15277391790224e-13,5.08258020403099e-10,4.9217379063279e-10,"NEFL/BMPR1B/SLITRK3/APLP2/SLITRK1/EFNA2/B4GALT6/SPAST/SPG21/TRIO/SPART/TBCE/TNR/SMURF1/DNM2/EVL/CRABP2/PTPN11/SMAD4/IST1/OPHN1/DPYSL5/KIFBP/PRKG1/S100A6/EFNB1/SPP1/FLRT2/FLRT3/ISLR2/WNT3A/ARHGEF25/CSF1R/TIAM1/EFNA4/EFNB2/EFNA3/APBB1/GAP43/NRP2/UNC5B/EPHA7/SLIT1/BRAF/EPHA4/ROBO4/UNC5D/NRXN3/RAC3/GDI1/SEMA4A/SLITRK6/PLXNB3/DCLK1/STMN1/NLGN3/RAB21/RAB3A/EPHB1/DSCAML1/SLIT2/SLIT3/LRP4/PLXNA4/PLXND1/FN1/EFNA1/AMIGO1/NCAM1/SEMA5B/SEMA6D/SEMA4G/CNTN6/MAG/NECTIN1/SLITRK2/DCC/ADGRB1/RELN/CHN1/ROBO2/NRXN1/EPHA6/DAG1/SSNA1/CXCL12/TWF2/NDEL1/GSK3B/APOE/BDNF/CRPPA/FGF8/GFRA3/HDAC6/EFNB3/NUMB/VEGFA/EFNA5/ERBB2/NTRK3/MAP2K1/ARTN/PLA2G10/BMP7/NRP1/RET/SEMA3A/CNTN2/CNTN4/CNTN5/MATN2/NTN4/BCL2/EPHA3/NTRK1/BSG/CHL1/MAP2K2/EPHA5/FYN/PRKCQ/TGFB2/L1CAM/BOC/PLXNC1/SLITRK5/BMPR2/NTRK2/UCHL1/EPHA10/EPHB6/RTN4R/NOTCH1/NOTCH3/NRCAM/SEMA6B/SEMA6A/UNC5C/SEMA3E/ALCAM/RGMA/RYK/SEMA3G/NTNG1/SEMA3B/OLFM1/SEMA4D/ROBO1/NGF/NOG/NELL2/PTPRS/EDN3/ANOS1/NTN1/CCK/SEMA7A/DRAXIN/SLITRK4/NFASC/NPTN/SEMA6C/APLP1/PGRMC1/SEMA4C/UNC5A/B3GNT2/EPHB2/PTPRJ/UST/NOTCH2/NEO1/ADAM17/DSCAM/PLXNB2/EPHB3/NPTX1/FSTL4/PCDHAC2/LRRC4C/PTK7/CDH11/ENAH/VASP/BRSK2/SEMA4B/CTNNA2/NEFH/SEMA4F/PITPNA",191,"non-AD","AD_vs_nonAD","GO_BP"
